currentLastName,birthName,firstName,nickname,nationality,height,weight,handedness,sponsor,rank,isFemale,playStyle
Djokovic,Djokovic,Novak,Nole,Serbe,188,77,Droite,Lacoste,1,false,ALL_AROUND
Nadal,Nadal,Rafael,Rafa,Espagnol,185,85,Gauche,Nike,2,false,DEFENSIVE
Alcaraz,Alcaraz,Carlos,Carlitos,Espagnol,183,74,Droite,Nike,3,false,AGGRESSIVE
Medvedev,Medvedev,Daniil,Meddy,Russe,198,83,Droite,Lacoste,4,false,DEFENSIVE
Zverev,Zverev,Alexander,Sascha,Allemand,198,90,Droite,Adidas,5,false,AGGRESSIVE
Sinner,Sinner,Jannik,Jan,Italien,188,76,Droite,Nike,6,false,AGGRESSIVE
Rublev,Rublev,Andrey,Rublo,Russe,188,75,Droite,Nike,7,false,AGGRESSIVE
Ruud,Ruud,Casper,Cappe,Norvegien,183,77,Droite,Yonex,8,false,ALL_AROUND
Tsitsipas,Tsitsipas,Stefanos,Stef,Grec,193,89,Droite,Adidas,9,false,AGGRESSIVE
Federer,Federer,Roger,Rodgeur,Suisse,185,85,Droite,Uniqlo,10,false,ALL_AROUND
Fritz,Fritz,Taylor,Fritzy,Americain,196,86,Droite,Nike,11,false,AGGRESSIVE
Auger-Aliassime,Auger-Aliassime,Felix,FAA,Canadien,193,88,Droite,Adidas,12,false,ALL_AROUND
Norrie,Norrie,Cameron,Cam,Britannique,188,82,Gauche,K-Swiss,13,false,DEFENSIVE
Hurkacz,Hurkacz,Hubert,Hubi,Polonais,196,81,Droite,Yonex,14,false,AGGRESSIVE
Tiafoe,Tiafoe,Frances,Big Foe,Americain,188,86,Droite,Nike,15,false,AGGRESSIVE
Carreno Busta,Carreno Busta,Pablo,PCB,Espagnol,188,78,Droite,Joma,16,false,ALL_AROUND
Shapovalov,Shapovalov,Denis,Shapo,Canadien,185,75,Gauche,Nike,17,false,AGGRESSIVE
Khachanov,Khachanov,Karen,Kachan,Russe,198,88,Droite,Nike,18,false,AGGRESSIVE
De Minaur,De Minaur,Alex,Demon,Australien,183,69,Droite,Asics,19,false,DEFENSIVE
Dimitrov,Dimitrov,Grigor,Grisha,Bulgare,191,81,Droite,Nike,20,false,ALL_AROUND
Cilic,Cilic,Marin,Cila,Croate,198,89,Droite,Fila,21,false,AGGRESSIVE
Bautista Agut,Bautista Agut,Roberto,RBA,Espagnol,183,75,Droite,Lacoste,22,false,DEFENSIVE
Korda,Korda,Sebastian,Sebi,Americain,196,82,Droite,Nike,23,false,ALL_AROUND
